ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa,sentiment_sa_sample_group
ENG30-02227487-v,okrenuti se od; odustati,"['manuti se', 'napuštati', 'napustiti', 'odreći se', 'odricati se', 'odustajati', 'odustati', 'ostaviti', 'ostavljati', 'predati', 'predavati', 'prepuštati', 'prepustiti', 'puštati', 'pustiti', 'ustupati', 'ustupiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00739270-n,Nesposobnost delovanja s razboritosćću koje bi ispoljila razumna osoba pod istim uslovima.,"['nepažnja', 'nemar']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-10527334-n,radikalni pristalica političke ili društvene revolucije,['revolucionar'],"(0.0, 0.0)",positive,Negativan,Negativan
ENG30-13973059-n,Stanje bezvlašća i nereda (obično kao rezultat pada vlade).,"['anarhija', 'bezakonje']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-14475661-n,stanje nesreće ili nevolje,"['nedaća', 'nesreća', 'nevolja', 'tegoba', 'teškoća']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01258302-v,svaliti (kao stabla i ljude),"['oboriti', 'srušiti', 'poseći']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01760300-v,"provocirati odgovore, kao prigovore, kritiku, aplauz itd.","['izazvati', 'požeti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00203342-n,Čin odbijanja nečega.,['odbijanje'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01880673-v,šta poručivati udaranjem (npr. prstima ili palicama),"['bubnjati', 'dobovati', 'kucati', 'kuckati', 'lupati', 'lupkati', 'pokucati', 'tući', 'udarati', 'udariti', 'zabubnjati', 'zakucati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02505358-v,"prisiliti ili privoleti ili neprestano terati ili prisiljujući pritisak vršiti, ili snažno motivisati","['motivisati', 'naterati', 'podstaći', 'podstaknuti', 'podsticati', 'primorati', 'primoravati', 'prinuditi', 'privoleti', 'privoljavati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-09503282-n,osoba (obično žena) za koju se smtra da ima posebne moći koje potiču od đavola,['veštica'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-09930876-n,osoba koja zabavlja druge blesavim ponašanjem,"['klovn', 'luda']","(0.0, 0.0)",positive,Negativan,Negativan
ENG30-00201407-v,umetnuti reči i time falsifikovati ceo tekst,"['intervenisati', 'falsifikovati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02949691-n,"Najrasprostranjenija nedozvoljana droga, smatra se lakom drogom; sastoji se od suvog lišća idijske konplje; puši se i žvaće,.","['marihuana', 'trava']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-13457378-n,promena ka nečemu manjem ili nižem,"['smanjenje', 'pad']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-03592245-n,kazneno-popravna ustanova koja se koristi za zadržavanje lica koja su pod zakonskim nadzorom vlade (bilo optuženi koji čekaju suđenje ili osuđene osobe na izdržavanju kazne),"['ćorka', 'tamnica', 'zatvor']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-06883725-n,zvanični simbol Nacističke partije i Trećeg Rajha; krst kod koga su kraci (kao ruke) pod pravim uglom u pravcu časovnika,"['svastika', 'kukasti krst']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01480149-v,"Uhvatiti lovljenjem, mamcima ili zamkama.","['uloviti', 'uhvatiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00221056-n,Ubistvo javne ličnosti iznenadnim napadom.,['atentat'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00222248-n,ubijanje osobe ili životinje,"['egzekucija', 'klanje', 'pogubljenje', 'ubijanje', 'ubistvo']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00479060-v,Ubiti potapanjem u vodu.,['udaviti'],"(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00089351-n,Dobijanje nečeg nazad.,"['povratak', 'povraćaj', 'restauracija']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01220336-n,oštar napad na čiju ličnost ili dobro ime,"['kleveta', 'klevetanje', 'omalovažavanje']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02573275-v,lišiti nekoga nečega zahvaljujući obmani,"['prevariti', 'zavarati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01880673-v,šta poručivati udaranjem (npr. prstima ili palicama),"['bubnjati', 'dobovati', 'kucati', 'kuckati', 'lupati', 'lupkati', 'pokucati', 'tući', 'udarati', 'udariti', 'zabubnjati', 'zakucati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00306017-v,"Prasnuti, obično uz buku.","['puknuti', 'eksplodirati']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01099592-v,nemati uspeha u postizanju pobede,"['gubiti', 'izgubiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00737070-n,čin neprikladne intimnosti,"['familijarnost', 'intimiziranje', 'intimnost', 'nepodobnost', 'sloboda']","(0.0, 0.0)",positive,Negativan,Negativan
BILI-00000025,Otac jednog supružnika prema drugom supružniku.,['prijatelj'],"(0.0, 0.0)",positive,Negativan,Negativan
ENG30-02304507-v,biti zarobljen,"['biti okupiran', 'biti zauzet', 'biti zauziman', 'padati', 'pasti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-01116447-v,prestati opirati se; prestati boriti se,"['dati kome prvenstvo', 'dopuštati', 'dopustiti', 'odustajati', 'odustati', 'popuštati', 'popustiti', 'predati se', 'predavati se', 'prepuštati', 'prepustiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00737070-n,čin neprikladne intimnosti,"['familijarnost', 'intimiziranje', 'intimnost', 'nepodobnost', 'sloboda']","(0.0, 0.0)",positive,Negativan,Negativan
ENG30-00378664-v,uništiti vatrom,"['paliti', 'sagoreti', 'sagorevati', 'sažeći', 'spaliti', 'spržiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02707800-v,"opirati se, pogotovo na zbunjujuć način","['odbijati', 'odbiti', 'odoleti', 'odolevati', 'odupirati se', 'odupreti se', 'prkositi']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-02034300-v,"Skrenuti sa pravog kursa, utvrđenog smera ili interesa.","['skrenuti', 'odstupiti']","(0.0, 0.0)",negative,Negativan,Negativan
ENG30-00120784-a,biti ili imati nepoznat ili neimenovan izvor,"['neidentifikovan', 'neimenovan', 'neodređen', 'nepoznat', 'nespecifikovan', 'skriven']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-05669797-n,kakva praksa koja se tradicijom prenela iz prošlosti,"['baština', 'nasleđe', 'tradicija']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-05548840-n,Deo tela između vrata i nadlaktice.,['rame'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-03671272-n,put koji se sastoji od pruge i šina,"['pruga', 'šine', 'železnica', 'železnička linija']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-00125629-n,Čin udaranja jedne stvari drugom.,['udaranje'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00604930-v,biti zamena ili rezerva za kakvu ulogu,"['rezerva', 'zamena']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-02624263-v,nastati; kakvu formu ili oblik preuzeti,"['dignuti se', 'dizati se', 'doći', 'dolaziti', 'evoluirati', 'graditi se', 'iskrsavati', 'iskrsnuti', 'izaći', 'izbijati', 'izbiti', 'izgraditi se', 'izići', 'izlaziti', 'izrasti', 'narastati', 'narasti', 'nastajati', 'nastati', 'pojaviti se', 'pojavljivati se', 'porasti', 'poteći', 'poticati', 'proizići', 'proizilaziti', 'rasti', 'razvijati se', 'razviti se']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-00447540-n,sport u kome se dva borca dohvataju rukama s ciljem da jedan drugog obore na zemlju.,['rvanje'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-02828884-n,Dugačko sedalo za više osoba.,['klupa'],"(0.0, 0.0)",negative,Neutralan,Objektivan/Neutralan
ENG30-00761713-v,raspravljati o uslovima kakvog dogovora,['pregovarati'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01455778-n,Riba sa dugačkom cevastom njuškom i tankim telom prekrivenim ljušturama.,"['igla', 'morska igla', 'Syngnathus acus']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-03948459-n,ručno oružje iz koga puca iz jedne ruke,['pištolj'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-02185373-v,Proizvoditi lagane ritmičke udarce po površini.,"['kucati', 'tapkati', 'lupkati', 'lupati', 'tupkati']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-00403249-b,Na značajan način.,"['značajno', 'važno']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-02684971-a,koji se odnosi na ili koji naseljava božansko nebo,"['božanski', 'nebeski']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-02581675-v,biti branilac nekoga u sudskom postupku,['braniti'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-03532342-n,zakrivljen ili savijen uređaj za kačenje ili povlačenje nečega,"['kandža', 'kuka', 'kukica']","(0.0, 0.0)",negative,Neutralan,Objektivan/Neutralan
ENG30-13490343-n,razvoj od jednostavnijih ka složenijim oblicima,['napredovanje'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00220869-v,Učiniti jakim ili jačim.,"['ojačati', 'osnažiti']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-07954014-n,broj ili količina sa kojom se postupa kao sa jedinicom,['blok'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-05397333-n,Kanal kroz koji cirkulišu telesne tečnosti.,['sud'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-00968155-n,Nekoliko povezanih operacija usmerenih na postizanje određenog cilja (obično unutar geografskih i vremenskih ograničenja).,"['kampanja', 'pohod']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-08286569-n,velika ustanova višeg učenja s raznovrsnim usmerenjima koja služi za obrazovanje za život i za struku i za dodelu zvanja,['univerzitet'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01639765-n,"Bezrepi vodozemac koji živi i u vodi i na suvom, ima vrlo razvijene zadnje noge prilagođene za skakanje.",['žaba'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-03462594-n,Površina (kao zid ili platno) pripremljena da primi boju za sliku (umetnost).,['podloga'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01208597-n,čin traženja pomoći od koga,"['azil', 'pribegavanje', 'pribežište', 'sklonište', 'utočište']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-01839404-a,Prostorni osećaj; biti ili postojati na određenom mestu.,['prisutan'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-13485767-n,"spajanje susednih zvukova, slogova ili reči",['fuzija'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01820302-v,od čega izvoditi ili primati zadovoljstvo; dobijati zadovoljstvo od čega; u čemu uživati,"['nauživati se', 'uživati']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-06351613-n,svaki sistem pisanih znakova,['pismo'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-10787470-n,Odrasla ženska osoba (nasuprot odrasloj muškoj osobi).,['žena'],"(0.0, 0.0)",positive,Neutralan,Objektivan/Neutralan
ENG30-05190804-n,Posedovanje kontrolisanja uticaja.,['sposobnost'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01149138-v,koga štititi ili se za koga boriti kao pokrovitelj,"['braniti', 'odbraniti', 'podržati', 'podržavati']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00577068-n,"Proces ili niz aktivnosti, posebno praktične ili mehaničke prirode, koji su uključeni u određeni oblik rada.","['operacija', 'postupak']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01679459-a,koji se tiče živih organizama ili se odnosi na njih ili potiče od njih ili ima osobine i karakteristike nalik na njihove,['organski'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-07966140-n,Veća društvena grupa koja ima posebnu kulturnu i ekonomsku organizaciju.,"['zajednica', 'društvo']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00177448-n,"sredstvo za postizanje nekog cilja, koje ne mora nužno da bude principijelno ili etički ispravno",['sredstvo'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00926932-v,pružiti duhovni uvid (u religiji),"['prosvetiti', 'prosvećivati']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-06323612-n,"reč koja modifikuje nešto drugo, a ne imenicu",['prilog'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-07226545-n,Usmeni zalog jedne osobe drugoj kada se složi da će uraditi (ili neće uraditi) nešto u budućnosti.,['obećanje'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-07575984-n,"lak večernji obrok, služi se u ranim večernjim satima i kasno, pred spavanje",['večera'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-02228163-a,onaj koji je kompetentan u mnogim oblastima i sposoban da se lako prebacuje sa jedne teme na drugu;,['svestran'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-02519991-v,za šta reparacije ili popravke praviti,"['dati naknadu za', 'davati naknadu za', 'ispraviti', 'ispravljati', 'kompenzirati', 'kompenzovati', 'korigovati', 'nadoknaditi', 'nadoknađivati', 'odštetiti', 'podešavati', 'podesiti', 'popraviti', 'popravljati']","(0.0, 0.0)",positive,Neutralan,Objektivan/Neutralan
ENG30-10788852-n,"Ženska osoba koja ima važnu ulogu u životu nekog muškarca, kao njegova supruga, ljubavnica ili devojka.",['žena'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-05517578-n,male anatomske strukture u obliku kesice ii mehura koji sadrže tečnost.,"['vezikula', 'cista']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-01995211-v,"donositi, uzeti ili izvući iz kontejnera ili ispod kakvog poklopca","['iščupati', 'istrgnuti', 'izvlačiti', 'izvući', 'otrgnuti', 'povlačiti', 'povući', 'uzeti', 'uzimati', 'vući']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-01035007-a,"koji je ili sa drugog mesta ili kraja sveta, ili koji je za drugo mesto ili kraj sveta karakterisatičan","['egzotičan', 'nepoznat', 'stran', 'strani', 'tuđi']","(0.0, 0.0)",negative,Neutralan,Objektivan/Neutralan
ENG30-13400798-n,"Finansijska obaveza, kao porez.","['trošak', 'potraživanje']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-00598954-v,"upoznati nešto ili postati nečega svestan, obično slučajno","['čuti', 'naći', 'naučiti', 'opaziti', 'otkriti', 'saznati', 'shvatiti', 'studirati', 'učiti', 'uočiti', 'utvrditi', 'videti']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01726879-v,kakav ritam opetovanim udarcima proizvoditi,"['bubnjati', 'dobovati', 'kucati', 'lupati', 'lupkati', 'tući', 'udarati']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
BILI-00000033,Dobrovoljni član organizacije koja obuhvata decu od 7 do 14 godina (u vreme SFRJ).,"['pionir', 'Titov pionir']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-08272961-n,"Grupa ljudi, občno privremena koja ima zajednički cilj.",['savez'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-07903208-n,piće destilovano od vina ili fermentiranog voćnog soka,['brendi'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-13367070-n,Nabavka nečega da bi bilo dostupno za buduće korišćenje.,"['zaliha', 'rezerva']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01139194-n,čin izdavanja formalnog (obično pisanog) ovlašćenja,"['dopuštenje', 'dozvola', 'licenca', 'odobrenje', 'zvanična pisana izjava koja vam daje pravo da uradite nešto v. dozvoliti']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-03649459-n,Organ koji vodi sudske poslove.,"['sud', 'tribunal']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
SRP-1847515246,Ženka domaćeg psa (ili neke životinje iz porodice pasa).,"['kuja', 'kučka']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-04347225-n,Nešto (osoba ili predmet ili prizor) što umetnik ili fotograf izabere da grafički predstavi.,"['sadržaj', 'predmet']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-02882570-a,Koji se odnosi ili se tiče mišića.,"['mišićni', 'muskulni', 'muskularni']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01076046-n,Čin zaustavljanja nečega.,"['zaustavljanje', 'blokada']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-03777283-n,predstava nečega; obično u manjim razmerama,"['model', 'simulacija']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01533339-n,"Ptica pevačica zelenkaste ili žute boje iz porodice zeba, poreklom s Kanarskih ostrva.","['kanarinac', 'kanarinka', 'kanarac']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-07999699-n,apstraktan zbir brojeva i simbola,['skup'],"(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-03406966-n,dugi plitki rov u zemlji (posebno onaj koji je napravio plug),"['bora', 'brazda', 'usek']","(0.0, 0.0)",negative,Neutralan,Objektivan/Neutralan
ENG30-01071411-n,popustljivost i saosećanje koje prema počiniocima kakvog krivičnog dela pokazuju lica ili agencije zadužene za sprovođenje pravde,"['blagost', 'milosrđe', 'milosrdnost', 'milost', 'milostivost', 'pomilovanje', 'samilost']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00887325-v,nameniti neko delo književnosti u manje formalnom stilu,['posvetiti'],"(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00179035-a,koga je vlast osnovala; koji je dobio odobrenje vlasti,"['prihvaćen', 'odobren']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-02297664-a,koji je u skladu sa utvrđenom jezičkom upotrebom obrazovanih izvornih govornika,"['normalan', 'standardan', 'u duhu', 'uobičajen']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00981830-n,operacija prikupljanja informacija o neprijatelju,"['inteligencija', 'špijunaža']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-00067707-n,Čin predaje (pod dogovorenim uslovima).,"['pad', 'kapitulacija', 'predaja']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-05667613-n,nešto što se smatra normativnim primerom,"['dogovor', 'forma', 'formula', 'konvencija', 'norma', 'pravilo', 'princip', 'propis', 'regulativa']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01204021-v,zadovoljiti (žeđ),"['ugasiti', 'utažiti', 'utoliti']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-02955065-n,Nešto što služi kao prekrivač ili zaštitnik.,"['kapak', 'pokrov']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
ENG30-01182021-v,Snabdevati hranom.,"['hraniti', 'opskrbiti']","(0.0, 0.0)",positive,Objektivan,Objektivan/Neutralan
ENG30-01170962-n,Čin borbe; bilo kakvo nadmetanje ili sukob.,"['borba', 'bitka']","(0.0, 0.0)",negative,Objektivan,Objektivan/Neutralan
